"Genus","Species.Name","a","b"
"Chaetodon","Chaetodon auriga",0.037129,2.873369
"Chaetodon","Chaetodon auripes",0.02291,3.01
"Chaetodon","Chaetodon austriacus",0.02291,3.01
"Chaetodon","Chaetodon baronessa",0.02291,3.01
"Chaetodon","Chaetodon bennetti",0.03839,2.88508
"Chaetodon","Chaetodon blackburnii",0.02291,3.01
"Chaetodon","Chaetodon burgessi",0.02291,3.01
"Chaetodon","Chaetodon citrinellus",0.037678,2.815819
"Chaetodon","Chaetodon collare",0.02291,3.01
"Chaetodon","Chaetodon daedalma",0.02291,3.01
"Chaetodon","Chaetodon declivis",0.02291,3.01
"Chaetodon","Chaetodon decussatus",0.02291,3.01
"Chaetodon","Chaetodon dialeucos",0.02291,3.01
"Chaetodon","Chaetodon dolosus",0.02291,3.01
"Chaetodon","Chaetodon ephippium",0.02249,3.06092
"Chaetodon","Chaetodon falcula",0.02291,3.01
"Chaetodon","Chaetodon fasciatus",0.02291,3.01
"Chaetodon","Chaetodon flavirostris",0.024326,3.125471
"Chaetodon","Chaetodon flavocoronatus",0.02291,3.01
"Chaetodon","Chaetodon fremblii",0.029,3.17
"Chaetodon","Chaetodon gardineri",0.02291,3.01
"Chaetodon","Chaetodon guentheri",0.02291,3.01
"Chaetodon","Chaetodon guttatissimus",0.02291,3.01
"Chaetodon","Chaetodon humeralis",0.027676,3.087389
"Chaetodon","Chaetodon interruptus",0.02291,3.01
"Chaetodon","Chaetodon kleinii",0.0449,3.036
"Chaetodon","Chaetodon larvatus",0.0257,3.1
"Chaetodon","Chaetodon leucopleura",0.02291,3.01
"Chaetodon","Chaetodon lineolatus",0.06926,2.62151
"Chaetodon","Chaetodon litus",0.02291,3.01
"Chaetodon","Chaetodon lunula",0.02291,3.01
"Chaetodon","Chaetodon lunulatus",0.031917,3.039268
"Chaetodon","Chaetodon madagaskariensis",0.02291,3.01
"Chaetodon","Chaetodon marleyi",0.02291,3.01
"Chaetodon","Chaetodon melannotus",0.029941,3.011927
"Chaetodon","Chaetodon melapterus",0.02291,3.01
"Chaetodon","Chaetodon mertensii",0.004261,3.800466
"Chaetodon","Chaetodon mesoleucos",0.02291,3.01
"Chaetodon","Chaetodon meyeri",0.02291,3.01
"Chaetodon","Chaetodon miliaris",0.042,3
"Chaetodon","Chaetodon mitratus",0.02291,3.01
"Chaetodon","Chaetodon modestus",0.02291,3.01
"Chaetodon","Chaetodon multicinctus",0.029,3.19
"Chaetodon","Chaetodon nigropunctatus",0.02291,3.01
"Chaetodon","Chaetodon nippon",0.02291,3.01
"Chaetodon","Chaetodon ocellicaudus",0.02291,3.01
"Chaetodon","Chaetodon octofasciatus",0.02291,3.01
"Chaetodon","Chaetodon ornatissimus",0.02291,3.01
"Chaetodon","Chaetodon oxycephalus",0.02291,3.01
"Chaetodon","Chaetodon paucifasciatus",0.02291,3.01
"Chaetodon","Chaetodon pelewensis",0.026346,3.094727
"Chaetodon","Chaetodon pictus",0.02291,3.01
"Chaetodon","Chaetodon plebeius",0.071506,2.564913
"Chaetodon","Chaetodon punctatofasciatus",0.02291,3.01
"Chaetodon","Chaetodon quadrimaculatus",0.02291,3.01
"Chaetodon","Chaetodon rafflesii",0.02291,3.01
"Chaetodon","Chaetodon rainfordi",0.02291,3.01
"Chaetodon","Chaetodon reticulatus",0.02291,3.01
"Chaetodon","Chaetodon selene",0.02291,3.01
"Chaetodon","Chaetodon semeion",0.02291,3.01
"Chaetodon","Chaetodon semilarvatus",0.02291,3.01
"Chaetodon","Chaetodon smithi",0.02291,3.01
"Chaetodon","Chaetodon speculum",0.06637,2.69302
"Chaetodon","Chaetodon striatus",0.025833,3.054522
"Chaetodon","Chaetodon tinkeri",0.02291,3.01
"Chaetodon","Chaetodon triangulum",0.02291,3.01
"Chaetodon","Chaetodon trichrous",0.02291,3.01
"Chaetodon","Chaetodon tricinctus",0.02291,3.01
"Chaetodon","Chaetodon trifascialis",0.03472,2.879309
"Chaetodon","Chaetodon trifasciatus",0.031917,3.039268
"Chaetodon","Chaetodon ulietensis",0.03114,2.87412
"Chaetodon","Chaetodon unimaculatus",0.0533,2.83328
"Chaetodon","Chaetodon vagabundus",0.02776,2.97346
"Chaetodon","Chaetodon wiebeli",0.02291,3.01
"Chaetodon","Chaetodon xanthocephalus",0.02291,3.01
"Chaetodon","Chaetodon xanthurus",0.02291,3.01
"Chaetodon","Chaetodon zanzibarensis",0.02291,3.01
"Chaetodontoplus","Chaetodontoplus ballinae",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus caeruleopunctatus",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus cephalareticulatus",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus chrysocephalus",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus conspicillatus",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus dimidiatus",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus duboulayi",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus melanosoma",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus meredithi",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus mesoleucus",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus niger",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus personifer",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus poliourus",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus septentrionalis",0.0302,2.89
"Chaetodontoplus","Chaetodontoplus vanderloosi",0.0302,2.89
"Chanos","Chanos chanos",0.00544,3.182459
"Cheilinus","Cheilinus abudjubbe",0.01995,3
"Cheilinus","Cheilinus chlorourus",0.023702,2.93323
"Cheilinus","Cheilinus fasciatus",0.01995,3
"Cheilinus","Cheilinus lunulatus",0.01995,3
"Cheilinus","Cheilinus oxycephalus",0.0166,2.95
"Cheilinus","Cheilinus trilobatus",0.019476,2.999946
"Cheilinus","Cheilinus undulatus",0.017807,3.018029
"Cheilio","Cheilio inermis",0.003853,3.031108
"Cheilodactylus","Cheilodactylus ephippium",0.0123,3.02
"Cheilodactylus","Cheilodactylus francisi",0.0123,3.02
"Cheilodactylus","Cheilodactylus fuscus",0.0123,3.02
"Cheilodactylus","Cheilodactylus gibbosus",0.0123,3.02
"Cheilodactylus","Cheilodactylus nigripes",0.0123,3.02
"Cheilodactylus","Cheilodactylus rubrolabiatus",0.0123,3.02
"Cheilodactylus","Cheilodactylus spectabilis",0.016,2.989
"Cheilodactylus","Cheilodactylus vestitus",0.0123,3.02
"Cheilodactylus","Cheilodactylus vittatus",0.0123,3.02
"Cheilodipterus","Cheilodipterus arabicus",0.01318,3.15
"Cheilodipterus","Cheilodipterus artus",0.00289,3.59016
"Cheilodipterus","Cheilodipterus intermedius",0.00646,3.19
"Cheilodipterus","Cheilodipterus isostigmus",0.00646,3.19
"Cheilodipterus","Cheilodipterus lachneri",0.00161,3.85777
"Cheilodipterus","Cheilodipterus macrodon",0.003771,3.522972
"Cheilodipterus","Cheilodipterus novemstriatus",0.01096,3.11
"Cheilodipterus","Cheilodipterus persicus",0.01096,3.11
"Cheilodipterus","Cheilodipterus quinquelineatus",0.011595,3.035204
"Cheilodipterus","Cheilodipterus singapurensis",0.00275,3.717
"Cheiloprion","Cheiloprion labiatus",0.02239,2.99
"Chelmon","Chelmon marginalis",0.02188,3.02
"Chelmon","Chelmon muelleri",0.02188,3.02
"Chelmon","Chelmon rostratus",0.045499,2.926772
"Chelmonops","Chelmonops curiosus",0.02188,3.02
"Chelmonops","Chelmonops truncatus",0.02188,3.02
"Chilomycterus","Chilomycterus reticulatus",0.0309,2.89
"Chirocentrus","Chirocentrus dorab",0.010812,2.820307
"Chironemus","Chironemus maculosus",0.01023,3.05
"Chironemus","Chironemus marmoratus",0.00579,3.18
"Chlorurus","Chlorurus atrilunula",0.01413,3.04
"Chlorurus","Chlorurus bleekeri",0.0415,2.946
"Chlorurus","Chlorurus bowersi",0.00794,3.11
"Chlorurus","Chlorurus capistratoides",0.01413,3.04
"Chlorurus","Chlorurus cyanescens",0.01413,3.04
"Chlorurus","Chlorurus enneacanthus",0.01413,3.04
"Chlorurus","Chlorurus frontalis",0.0172,3.08
"Chlorurus","Chlorurus genazonatus",0.01413,3.04
"Chlorurus","Chlorurus gibbus",0.021734,3.012728
"Chlorurus","Chlorurus japanensis",0.01413,3.04
"Chlorurus","Chlorurus microrhinos",0.021734,3.012728
"Chlorurus","Chlorurus oedema",0.01995,3.01
"Chlorurus","Chlorurus perspicillatus",0.01413,3.04
"Chlorurus","Chlorurus rhakoura",0.01995,3.01
"Chlorurus","Chlorurus sordidus",0.020118,3.059482
"Chlorurus","Chlorurus spilurus",0.020118,3.059482
"Chlorurus","Chlorurus strongylocephalus",0.021734,3.012728
"Chlorurus","Chlorurus troschelii",0.01413,3.04
"Choerodon","Choerodon anchorago",0.0326,3.071
"Choerodon","Choerodon azurio",0.01698,3.03
"Choerodon","Choerodon cauteroma",0.01259,3.05
"Choerodon","Choerodon cephalotes",0.01259,3.05
"Choerodon","Choerodon cyanodus",0.01259,3.05
"Choerodon","Choerodon fasciatus",0.01259,3.05
"Choerodon","Choerodon gomoni",0.01259,3.05
"Choerodon","Choerodon graphicus",0.0145,3.125
"Choerodon","Choerodon gymnogenys",0.01698,3.03
"Choerodon","Choerodon jordani",0.01259,3.05
"Choerodon","Choerodon margaritiferus",0.01259,3.05
"Choerodon","Choerodon melanostigma",0.01,3.04
"Choerodon","Choerodon monostigma",0.01259,3.05
"Choerodon","Choerodon oligacanthus",0.01259,3.05
"Choerodon","Choerodon paynei",0.01,3.04
"Choerodon","Choerodon robustus",0.01698,3.03
"Choerodon","Choerodon rubescens",0.01698,3.03
"Choerodon","Choerodon schoenleinii",0.01259,3.05
"Choerodon","Choerodon sugillatum",0.01,3.04
"Choerodon","Choerodon venustus",0.01698,3.03
"Choerodon","Choerodon zosterophorus",0.01259,3.05
"Choeroichthys","Choeroichthys brachysoma",0.00049,3.1
"Choeroichthys","Choeroichthys cinctus",0.00049,3.1
"Choeroichthys","Choeroichthys latispinosus",0.00049,3.1
"Choeroichthys","Choeroichthys sculptus",0.00049,3.1
"Choeroichthys","Choeroichthys smithi",0.00049,3.1
"Choeroichthys","Choeroichthys suillus",0.00049,3.1
"Chromis","Chromis abrupta",0.01778,2.99
"Chromis","Chromis acares",0.01479,2.98
"Chromis","Chromis agilis",0.01479,2.98
"Chromis","Chromis albicaudatum",0.01778,2.99
"Chromis","Chromis albomaculata",0.01778,2.99
"Chromis","Chromis alleni",0.01778,2.99
"Chromis","Chromis alpha",0.01778,2.99
"Chromis","Chromis alta",0.01778,2.99
"Chromis","Chromis amboinensis",0.01778,2.99
"Chromis","Chromis analis",0.01778,2.99
"Chromis","Chromis athena",0.01778,2.99
"Chromis","Chromis atrilobata",0.00523,3.416
"Chromis","Chromis atripectoralis",0.011015,3.253865
"Chromis","Chromis atripes",0.01479,2.98
"Chromis","Chromis axillaris",0.01778,2.99
"Chromis","Chromis bami",0.01778,2.99
"Chromis","Chromis brevirostris",0.01778,2.99
"Chromis","Chromis caudalis",0.01778,2.99
"Chromis","Chromis chrysura",0.01834,3.15616
"Chromis","Chromis cinerascens",0.01479,2.98
"Chromis","Chromis crusma",0.0278,2.826
"Chromis","Chromis dasygenys",0.01778,2.99
"Chromis","Chromis delta",0.01479,2.98
"Chromis","Chromis dimidiata",0.01778,2.99
"Chromis","Chromis elerae",0.01479,2.98
"Chromis","Chromis fatuhivae",0.01778,2.99
"Chromis","Chromis flavapicis",0.01778,2.99
"Chromis","Chromis flavaxilla",0.01778,2.99
"Chromis","Chromis flavipectoralis",0.01778,2.99
"Chromis","Chromis flavomaculata",0.01479,2.98
"Chromis","Chromis fumea",0.010115,3.298275
"Chromis","Chromis hanui",0.01479,2.98
"Chromis","Chromis hypsilepis",0.01479,2.98
"Chromis","Chromis intercrusma",0.01479,2.98
"Chromis","Chromis iomelas",0.01221,3.094234
"Chromis","Chromis klunzingeri",0.01778,2.99
"Chromis","Chromis lepidolepis",0.15931,1.9385
"Chromis","Chromis leucura",0.01778,2.99
"Chromis","Chromis limbaughi",0.0159,3.042
"Chromis","Chromis lineata",0.01778,2.99
"Chromis","Chromis margaritifer",0.01778,2.99
"Chromis","Chromis mirationis",0.01778,2.99
"Chromis","Chromis monochroma",0.01778,2.99
"Chromis","Chromis nigroanalis",0.01778,2.99
"Chromis","Chromis nigrura",0.01778,2.99
"Chromis","Chromis nitida",0.01479,2.98
"Chromis","Chromis notata",0.01778,2.99
"Chromis","Chromis onumai",0.01778,2.99
"Chromis","Chromis opercularis",0.01479,2.98
"Chromis","Chromis ovalis",0.01778,2.99
"Chromis","Chromis ovatiformes",0.01778,2.99
"Chromis","Chromis pamae",0.01479,2.98
"Chromis","Chromis pelloura",0.01778,2.99
"Chromis","Chromis pembae",0.01778,2.99
"Chromis","Chromis planesi",0.01778,2.99
"Chromis","Chromis pura",0.01778,2.99
"Chromis","Chromis randalli",0.01479,2.98
"Chromis","Chromis retrofasciata",0.00527,2.773
"Chromis","Chromis scotochiloptera",0.01778,2.99
"Chromis","Chromis ternatensis",0.014635,3.1485
"Chromis","Chromis trialpha",0.01479,2.98
"Chromis","Chromis vanderbilti",0.01479,2.98
"Chromis","Chromis verater",0.01778,2.99
"Chromis","Chromis viridis",0.027493,2.752408
"Chromis","Chromis weberi",0.01778,2.99
"Chromis","Chromis westaustralis",0.01479,2.98
"Chromis","Chromis xanthochira",0.01778,2.99
"Chromis","Chromis xanthopterygia",0.01479,2.98
"Chromis","Chromis xanthura",0.0166,2.95
"Chromis","Chromis xouthos",0.01778,2.99
"Chromis","Chromis xutha",0.01778,2.99
"Chrysiptera","Chrysiptera albata",0.01,3.04
"Chrysiptera","Chrysiptera annulata",0.01479,2.98
"Chrysiptera","Chrysiptera arnazae",0.02239,2.99
"Chrysiptera","Chrysiptera biocellata",0.01479,2.98
"Chrysiptera","Chrysiptera bleekeri",0.01479,2.98
"Chrysiptera","Chrysiptera brownriggii",0.01479,2.98
"Chrysiptera","Chrysiptera caeruleolineatus",0.01479,2.98
"Chrysiptera","Chrysiptera cyanea",0.01479,2.98
"Chrysiptera","Chrysiptera cymatilis",0.01,3.04
"Chrysiptera","Chrysiptera flavipinnis",0.01479,2.98
"Chrysiptera","Chrysiptera galba",0.01479,2.98
"Chrysiptera","Chrysiptera giti",0.02239,2.99
"Chrysiptera","Chrysiptera glauca",0.01479,2.98
"Chrysiptera","Chrysiptera hemicyanea",0.01479,2.98
"Chrysiptera","Chrysiptera kuiteri",0.01,3.04
"Chrysiptera","Chrysiptera niger",0.01479,2.98
"Chrysiptera","Chrysiptera notialis",0.01479,2.98
"Chrysiptera","Chrysiptera oxycephala",0.02239,2.99
"Chrysiptera","Chrysiptera parasema",0.01479,2.98
"Chrysiptera","Chrysiptera pricei",0.01,3.04
"Chrysiptera","Chrysiptera rapanui",0.01479,2.98
"Chrysiptera","Chrysiptera rex",0.01479,2.98
"Chrysiptera","Chrysiptera rollandi",0.01479,2.98
"Chrysiptera","Chrysiptera sheila",0.02239,2.99
"Chrysiptera","Chrysiptera sinclairi",0.01479,2.98
"Chrysiptera","Chrysiptera springeri",0.02239,2.99
"Chrysiptera","Chrysiptera starcki",0.01479,2.98
"Chrysiptera","Chrysiptera talboti",0.01479,2.98
"Chrysiptera","Chrysiptera taupou",0.025773,2.867844
"Chrysiptera","Chrysiptera traceyi",0.01479,2.98
"Chrysiptera","Chrysiptera tricincta",0.01479,2.98
"Chrysiptera","Chrysiptera unimaculata",0.01479,2.98
"Cirrhilabrus","Cirrhilabrus adornatus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus aurantidorsalis",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus balteatus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus beauperryi",0.01995,3
"Cirrhilabrus","Cirrhilabrus blatteus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus brunneus",0.01995,3
"Cirrhilabrus","Cirrhilabrus claire",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus condei",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus cyanopleura",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus earlei",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus exquisitus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus filamentosus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus flavidorsalis",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus joanallenae",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus johnsoni",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus jordani",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus katherinae",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus laboutei",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus lineatus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus lubbocki",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus luteovittatus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus marjorie",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus melanomarginatus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus morrisoni",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus naokoae",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus punctatus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus randalli",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus rhomboidalis",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus rubrimarginatus",0.01,3.04
"Cirrhilabrus","Cirrhilabrus rubripinnis",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus rubrisquamis",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus rubriventralis",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus sanguineus",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus scottorum",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus solorensis",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus temminckii",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus tonozukai",0.0166,2.95
"Cirrhilabrus","Cirrhilabrus walindi",0.0166,2.95
"Cirrhitichthys","Cirrhitichthys aprinus",0.01585,3.01
"Cirrhitichthys","Cirrhitichthys calliurus",0.01585,3.01
"Cirrhitichthys","Cirrhitichthys falco",0.009901,3.426927
"Cirrhitichthys","Cirrhitichthys oxycephalus",0.0138,3.117
"Cirrhitops","Cirrhitops fasciatus",0.01585,3.01
"Cirrhitops","Cirrhitops hubbardi",0.01585,3.01
"Cirrhitus","Cirrhitus pinnulatus",0.01585,3.01
"Cirrhitus","Cirrhitus rivulatus",0.01585,3.01
"Cirripectes","Cirripectes alboapicalis",0.00741,3
"Cirripectes","Cirripectes auritus",0.00741,3
"Cirripectes","Cirripectes castaneus",0.00741,3
"Cirripectes","Cirripectes chelomatus",0.0147,3.09948
"Cirripectes","Cirripectes hutchinsi",0.00741,3
"Cirripectes","Cirripectes polyzona",0.00741,3
"Cirripectes","Cirripectes springeri",0.00741,3
"Cirripectes","Cirripectes stigmaticus",0.0195,2.93725
"Cirripectes","Cirripectes vanderbilti",0.00741,3
"Cirripectes","Cirripectes variolosus",0.00741,3
"Cociella","Cociella crocodilus",0.00412,3.205
"Conger","Conger cinereus",0.00077,3.12681
"Conniella","Conniella apterygia",0.00447,3.14
"Coradion","Coradion altivelis",0.02188,3.02
"Coradion","Coradion chrysozonus",0.02188,3.02
"Coradion","Coradion melanopus",0.02188,3.02
"Coris","Coris auricularis",0.01,3.06
"Coris","Coris aurilineata",0.01,3.06
"Coris","Coris aygula",0.00266,3.48857
"Coris","Coris ballieui",0.01,3.06
"Coris","Coris batuensis",0.01,3.06
"Coris","Coris bulbifrons",0.01,3.06
"Coris","Coris caudimacula",0.01,3.06
"Coris","Coris centralis",0.0049,3.11
"Coris","Coris cuvieri",0.01,3.06
"Coris","Coris dorsomacula",0.01,3.06
"Coris","Coris flavovittata",0.01,3.06
"Coris","Coris formosa",0.01,3.06
"Coris","Coris gaimard",0.01,3.06
"Coris","Coris hewetti",0.01,3.06
"Coris","Coris marquesensis",0.01,3.06
"Coris","Coris nigrotaenia",0.01,3.06
"Coris","Coris picta",0.0049,3.11
"Coris","Coris pictoides",0.01,3.06
"Coris","Coris roseoviridis",0.01,3.06
"Coris","Coris sandeyeri",0.01,3.06
"Coris","Coris variegata",0.01,3.06
"Coris","Coris venusta",0.01,3.06
"Corvula","Corvula macrops",0.0095,3.16
"Coryphopterus","Coryphopterus urospilus",0.00616,3.314
"Corythoichthys","Corythoichthys amplexus",0.00049,3.1
"Corythoichthys","Corythoichthys benedetto",0.00049,3.1
"Corythoichthys","Corythoichthys flavofasciatus",0.00049,3.1
"Corythoichthys","Corythoichthys haematopterus",0.00049,3.1
"Corythoichthys","Corythoichthys insularis",0.00049,3.1
"Corythoichthys","Corythoichthys intestinalis",0.00049,3.1
"Corythoichthys","Corythoichthys nigripectus",0.00049,3.1
"Corythoichthys","Corythoichthys schultzi",0.00049,3.1
"Cratinus","Cratinus agassizii",0.01906,3.06
"Crenimugil","Crenimugil buchanani",0.012957,3.056518
"Crenimugil","Crenimugil crenilabis",0.0368,2.86
"Crenimugil","Crenimugil seheli",0.021,2.79
"Crocodilichthys","Crocodilichthys gracilis",0.00851,2.86
"Cromileptes","Cromileptes altivelis",0.09619,2.48928
"Crossosalarias","Crossosalarias macrospilus",0.00741,3
"Cryptocentrus","Cryptocentrus cinctus",0.00617,3.08
"Cryptocentrus","Cryptocentrus fasciatus",0.00617,3.08
"Cryptocentrus","Cryptocentrus leptocephalus",0.00617,3.08
"Cryptocentrus","Cryptocentrus leucostictus",0.00617,3.08
"Cryptocentrus","Cryptocentrus lutheri",0.00617,3.08
"Cryptocentrus","Cryptocentrus strigilliceps",0.00617,3.08
"Ctenochaetus","Ctenochaetus binotatus",0.050728,2.744453
"Ctenochaetus","Ctenochaetus cyanocheilus",0.02344,2.97
"Ctenochaetus","Ctenochaetus flavicauda",0.02344,2.97
"Ctenochaetus","Ctenochaetus hawaiiensis",0.02344,2.97
"Ctenochaetus","Ctenochaetus marginatus",0.02344,2.97
"Ctenochaetus","Ctenochaetus striatus",0.01569,3.058599
"Ctenochaetus","Ctenochaetus strigosus",0.00601,3.379
"Ctenochaetus","Ctenochaetus tominiensis",0.02344,2.97
"Ctenochaetus","Ctenochaetus truncatus",0.02344,2.97
"Ctenogobiops","Ctenogobiops feroculus",0.00617,3.08
"Ctenogobiops","Ctenogobiops maculosus",0.00617,3.08
"Cyclichthys","Cyclichthys spilostylus",0.0309,2.89
"Cymbacephalus","Cymbacephalus beauforti",0.00402,3.21054
"Cymbacephalus","Cymbacephalus staigeri",0.00412,3.205
"Cymolutes","Cymolutes lecluse",0.0166,2.95
"Cymolutes","Cymolutes praetextatus",0.00389,3.12
"Cymolutes","Cymolutes torquatus",0.00389,3.12
"Cypho","Cypho purpurascens",0.013257,3.006538
"Dactylophora","Dactylophora nigricans",0.00389,3.12
"Dactyloptena","Dactyloptena orientalis",0.03128,3
"Dascyllus","Dascyllus albisella",0.02239,2.99
"Dascyllus","Dascyllus aruanus",0.064947,2.645624
"Dascyllus","Dascyllus auripinnis",0.02239,2.99
"Dascyllus","Dascyllus carneus",0.01479,2.98
"Dascyllus","Dascyllus flavicaudus",0.02239,2.99
"Dascyllus","Dascyllus marginatus",0.02239,2.99
"Dascyllus","Dascyllus melanurus",0.02239,2.99
"Dascyllus","Dascyllus reticulatus",0.035245,2.943364
"Dascyllus","Dascyllus strasburgi",0.02239,2.99
"Dascyllus","Dascyllus trimaculatus",0.02577,3.04325
"Dasyatis","Dasyatis brevis",0.00776,3.02
"Decapterus","Decapterus kurroides",0.020483,2.939368
"Decapterus","Decapterus macarellus",0.00783,3.14
"Decapterus","Decapterus macrosoma",0.004687,3.200718
"Decapterus","Decapterus maruadsi",0.013912,3.025027
"Decapterus","Decapterus russelli",0.027669,2.827098
"Decapterus","Decapterus tabl",0.008237,3.152225
"Decodon","Decodon grandisquamis",0.00977,3.05
"Decodon","Decodon melasma",0.00977,3.05
"Dendrochirus","Dendrochirus barberi",0.01148,3.09
"Dendrochirus","Dendrochirus brachypterus",0.011268,3.2692
"Dendrochirus","Dendrochirus zebra",0.01148,3.09
"Dermatolepis","Dermatolepis dermatolepis",0.01148,3.05
"Dermatolepis","Dermatolepis striolata",0.01148,3.05
"Diademichthys","Diademichthys lineatus",0.0055,3.11
"Diagramma","Diagramma centurio",0.01,3.04
"Diagramma","Diagramma labiosum",0.0195,2.96
"Diagramma","Diagramma melanacrum",0.0123,3.01
"Diagramma","Diagramma pictum",0.014737,2.983509
"Dicotylichthys","Dicotylichthys punctulatus",0.0309,2.89
"Dinolestes","Dinolestes lewini",0.00389,3.12
"Diodon","Diodon holocanthus",0.120696,2.724876
"Diodon","Diodon hystrix",0.193,2.41
"Diodon","Diodon liturosus",0.0309,2.89
"Diodon","Diodon nicthemerus",0.0309,2.89
"Diplobatis","Diplobatis ommata",0.01047,2.87
"Diplodus","Diplodus noct",0.01722,3
"Diplogrammus","Diplogrammus goramensis",0.00776,2.82
"Diploprion","Diploprion bifasciatum",0.00886,3.2775
"Diploprion","Diploprion drachi",0.00886,3.2775
"Diproctacanthus","Diproctacanthus xanthurus",0.00955,3.05
"Dipterygonotus","Dipterygonotus balteatus",0.01122,3.04
"Dischistodus","Dischistodus chrysopoecilus",0.01479,2.98
"Dischistodus","Dischistodus darwiniensis",0.01479,2.98
"Dischistodus","Dischistodus fasciatus",0.01479,2.98
"Dischistodus","Dischistodus melanotus",0.01479,2.98
"Dischistodus","Dischistodus perspicillatus",0.01479,2.98
"Dischistodus","Dischistodus prosopotaenia",0.01479,2.98
"Dischistodus","Dischistodus pseudochrysopoecilus",0.01479,2.98
"Doryrhamphus","Doryrhamphus excisus excisus",0.00122,3.139
"Dotalabrus","Dotalabrus alleni",0.01,3.04
"Dotalabrus","Dotalabrus aurantiacus",0.01,3.04
"Dunckerocampus","Dunckerocampus dactyliophorus",0.00049,3.1
"Echeneis","Echeneis naucrates",0.00049,3.1
"Echidna","Echidna nebulosa",0.00049,3.1
"Echidna","Echidna unicolor",0.00049,3.1
"Ecsenius","Ecsenius aroni",0.00741,3
"Ecsenius","Ecsenius bandanus",0.00741,3
"Ecsenius","Ecsenius bicolor",0.028412,2.455228
"Ecsenius","Ecsenius dentex",0.00741,3
"Ecsenius","Ecsenius frontalis",0.00741,3
"Ecsenius","Ecsenius gravieri",0.00741,3
"Ecsenius","Ecsenius lineatus",0.00741,3
"Ecsenius","Ecsenius midas",0.00741,3
"Ecsenius","Ecsenius ops",0.00741,3
"Ecsenius","Ecsenius opsifrontalis",0.00741,3
"Ecsenius","Ecsenius pulcher",0.00741,3
"Ecsenius","Ecsenius stictus",0.00741,3
"Ecsenius","Ecsenius trilineatus",0.00741,3
"Ekemblemaria","Ekemblemaria myersi",0.00457,3.08
"Elacatinus","Elacatinus puncticulatus",0.00916,3.017
"Elagatis","Elagatis bipinnulata",0.0845,2.556
"Eleotrica","Eleotrica cableae",0.00617,3.08
"Ellochelon","Ellochelon vaigiensis",0.01023,3.03
"Elops","Elops affinis",0.01,3.02
"Elops","Elops machnata",0.007012,3.021475
"Enchelycore","Enchelycore lichenosa",0.00112,3.07
"Enchelycore","Enchelycore pardalis",0.00155,3.11
"Enchelycore","Enchelycore ramosa",0.00112,3.07
"Enchelynassa","Enchelynassa canina",0.00112,3.07
"Engraulis","Engraulis australis",0.00457,3.12
"Engyprosopon","Engyprosopon grandisquama",0.019024,2.840826
"Enneanectes","Enneanectes carminalis",0.00883,3.197
"Enneapterygius","Enneapterygius atrogulare",0.0055,3.08
