speccode,species,a,b,lmax_old,family,lmax
8852,Solea senegalensis,0.007743333,3.078333333,50,Soleidae,60
3336,Paralabrax maculatofasciatus,0.0264,2.9575,33,Serranidae,60
4556,Trachyrincus scabrus,0.00129,3.232,45.7,Macrouridae,60
7327,Balistes capriscus,0.042853684,2.856684211,59,Balistidae,60
12304,Myxocyprinus asiaticus,0.00594,3.21,34.5,Catostomidae,60
6021,Naso brevirostris,0.02815,3.03799,33,Acanthuridae,60
4122,Myoxocephalus quadricornis,0.01224,3.2761,23,Cottidae,60
397,Isacia conceptionis,0.0091,3.095,34.4,Haemulidae,60
5659,Crenimugil seheli,0.0238125,2.88900375,46.7,Mugilidae,60
5382,Trachurus capensis,0.0078,3.011,NA,Carangidae,60
12288,Plagiogeneion rubiginosum,0.014845,3.105,NA,Emmelichthyidae,60
1329,Myoxocephalus scorpius,0.014677778,3.093066667,35,Cottidae,60
12549,Coregonus chadary,0.0065,3.172,41.4,Salmonidae,60
166,Lutjanus monostigma,0.02029,2.94126,53.5,Lutjanidae,60
9283,Raja polystigma,3.00E-04,3.78,42.6,Rajidae,60
4482,Squalius cephalus,0.009605263,3.154894737,38.7,Cyprinidae,60
23790,Stichaeus nozawae,0.00402,3.1482,36.8,Stichaeidae,60
4605,Thymallus thymallus,0.007436667,3.065666667,42,Salmonidae,60
19,Balistes vetula,0.053350833,2.882833333,65,Balistidae,60
13118,Neoarius velutinus,0.00434,3.2919,88,Ariidae,60
687,Etmopterus spinax,0.003838571,3.056428571,48.5,Etmopteridae,60
9,Abalistes stellaris,0.04519,2.7755,53.5,Balistidae,60
3021,Ameiurus natalis,0.0258,2.88335,35.6,Ictaluridae,60
1749,Diplodus puntazzo,0.02309,2.96458,53.5,Sparidae,60
67591,Hoplias intermedius,0.005965,3.285,60,Erythrinidae,60
11001,Cynoscion phoxocephalus,0.007,3.008,27.5,Sciaenidae,60
5230,Alestes macrophthalmus,0.017,3.0455,35,Alestidae,60
181,Lutjanus synagris,0.0299904,2.90378,58,Lutjanidae,60
919,Caesio cuning,0.0290675,2.9898325,29,Caesionidae,60
7626,Plectorhinchus sordidus,0.036,2.75,33.8,Haemulidae,60
1876,Gaidropsarus vulgaris,0.01007,3.024833333,47,Lotidae,60
7620,Micropogonias furnieri,0.01870963,2.989362963,80,Sciaenidae,60
1356,Spondyliosoma cantharus,0.016655294,3.060176471,46,Sparidae,60
5408,Myripristis murdjan,0.026944,3.077,26,Holocentridae,60
118,Scomber scombrus,0.004663636,3.236909091,47.5,Scombridae,60
6396,Cephalopholis argus,0.012438571,3.110934286,45.9,Serranidae,60
16124,Osteochilus melanopleurus,0.003245,3.15895,39.5,Cyprinidae,60
213,Rhomboplites aurorubens,0.039754545,2.824545455,62,Lutjanidae,60
191,Paracaesio kusakarii,0.0106,3.135,62,Lutjanidae,60
1596,Tenualosa ilisha,0.01813,2.926272727,57,Clupeidae,60
1279,Trachurus picturatus,0.00682,3.081,32.6,Carangidae,60
5355,Alosa fallax,0.009553636,3.060218182,60,Clupeidae,60
1582,Alosa mediocris,0.0111,3,NA,Clupeidae,60
528,Austroglossus pectoralis,0.00221,3.299666667,57,Soleidae,60
7990,Notopterus notopterus,0.010242857,3.011614286,39.1,Notopteridae,60
4962,Gephyroberyx darwinii,0.0128,3.1485,63,Trachichthyidae,60
26,Glyptocephalus cynoglossus,0.002292,3.3091,54.5,Pleuronectidae,60
6408,Cirrhitus rivulatus,0.02761,3,53,Cirrhitidae,60
4816,Planiliza macrolepis,0.02848,2.849612,32.2,Mugilidae,60
4935,Branchiostegus semifasciatus,0.01,3,49.5,Malacanthidae,60
358,Perca fluviatilis,0.014089483,3.118715517,57,Percidae,60
5038,Trigla lyra,0.012508462,2.945384615,51,Triglidae,60
1341,Platichthys flesus,0.011664,3.0329,53,Pleuronectidae,60
8559,Microstomus achne,0.0458,2.855,NA,Pleuronectidae,60
23789,Stichaeus grigorjewi,0.1167,2.573,53.1,Stichaeidae,60
13207,Narcine vermiculata,0.0475,1.801,34.3,Narcinidae,60
8705,Schizothorax richardsonii,0.022366667,2.9,36.7,Cyprinidae,60
7625,Plectorhinchus flavomaculatus,0.0398,2.86,49,Haemulidae,60
8196,Epinephelus labriformis,0.03055,2.926,NA,Serranidae,60
12548,Coregonus ussuriensis,0.00517,3.3833,49.5,Salmonidae,60
1070,Lutjanus fulgens,0.00926,3.2343,43.3,Lutjanidae,60
4989,Malacocephalus laevis,0.341375,2.9715,47.5,Macrouridae,60
1627,Ilisha elongata,0.00963,3.032,51,Pristigasteridae,60
7932,Diplodus hottentotus,0.03105,2.9965,6.6,Sparidae,60
1117,Pomacanthus arcuatus,0.0344,2.968,43.8,Pomacanthidae,60
2,Oreochromis niloticus,0.039864839,2.896615161,53,Cichlidae,60
4708,Pomadasys jubelini,0.019775,2.93175,36,Haemulidae,60
1899,Caranx rhonchus,0.034464286,2.810685714,38,Carangidae,60
68,Eutrigla gurnardus,0.008433077,3.069723077,44,Triglidae,60
407,Cynoscion striatus,0.02875,2.691,NA,Sciaenidae,60
4879,Salmo macrostigma,0.0159,2.9573,43.6,Salmonidae,60
5539,Hipposcarus longiceps,0.0161,3.05,51,Scaridae,60
4931,Balistes punctatus,0.04965,2.7794,51.8,Balistidae,60
16212,Bangana behri,0.00909,3.114,55,Cyprinidae,60
14601,Acanthopagrus butcheri,0.011742222,3.1,NA,Sparidae,60
5987,Parupeneus barberinus,0.017934286,2.986927143,41,Mullidae,60
1600,Tenualosa toli,0.00906,3.197,NA,Clupeidae,60
58409,Trichiurus nanhaiensis,0.023666667,2.868333333,52,Trichiuridae,60
8309,Nibea soldado,0.0071,3.1,19.4,Sciaenidae,60
4443,Carangoides malabaricus,0.0228,2.9616,44,Carangidae,60
5540,Scarus altipinnis,0.020275,3.00883,46,Scaridae,60
378,Selene setapinnis,0.029182222,2.779444444,48,Carangidae,60
491,Pampus argenteus,0.082272727,2.785,31.5,Stromateidae,60
5737,Platax orbicularis,0.0425,2.975,50,Ephippidae,60
475,Pseudochaenichthys georgianus,0.001161429,3.645571429,59,Channichthyidae,60
6479,Saurida tumbil,0.0053025,3.214166667,50.3,Synodontidae,60
2062,Torpedo torpedo,0.034933333,2.809333333,49.2,Torpedinidae,60
1278,Trachurus mediterraneus,0.011298,2.97857,51,Carangidae,60
5004,Pomadasys rogerii,0.013,3.07,40,Haemulidae,60
14464,Platypharodon extremus,0.013,3.12,14.5,Cyprinidae,60
983,Caulolatilus chrysops,0.00835,3.077,55.4,Malacanthidae,60
8842,Eopsetta grigorjewi,0.0062,3.11,NA,Pleuronectidae,60
5653,Crenimugil crenilabis,0.0368,2.86,42,Mugilidae,60
1078,Lophius gastrophysus,0.010405,3.088,74,Lophiidae,60
186,Macolor macularis,0.0274,2.91,58.2,Lutjanidae,60
7937,Sphyraena flavicauda,0.0119025,2.83675,38.2,Sphyraenidae,60
65134,Squalius squalus,0.006735,3.1415,49.4,Cyprinidae,60
28,Lepidorhombus whiffiagonis,0.00389,3.17118,58,Scophthalmidae,60
4238,Glyptocephalus zachirus,0.0018625,3.473875,52,Pleuronectidae,60
55402,Gymnodiptychus pachycheilus,0.0119,3.05,49.5,Cyprinidae,60
4948,Cynoglossus canariensis,0.002796,3.019,NA,Cynoglossidae,60
6441,Aethaloperca rogaa,0.0299,3,19,Serranidae,60
14544,Meuschenia freycineti,0.02188,2.91,NA,Monacanthidae,60
6022,Naso lopezi,0.01995,3,NA,Acanthuridae,60
6931,Naso maculatus,0.01995,3,NA,Acanthuridae,60
6023,Naso tuberosus,0.01995,3,NA,Acanthuridae,60
13033,Plectorhinchus cinctus,0.0195,2.96,NA,Haemulidae,60
13417,Prionurus laticlavius,0.01995,3.01,NA,Acanthuridae,60
13419,Prionurus punctatus,0.01995,3.01,NA,Acanthuridae,60
6027,Pseudobalistes flavimarginatus,0.0257,2.94,NA,Balistidae,60
7911,Scarus falcipinnis,0.01445,3.04,NA,Scaridae,60
214,Symphorichthys spilurus,0.01259,3.03,NA,Lutjanidae,60
1978,Trachinotus baillonii,0.01288,2.96,NA,Carangidae,60
46433,Canthidermis macrolepis,0.0257,2.94,NA,Balistidae,60
6443,Cephalopholis aurantia,0.01259,3.05,NA,Serranidae,60
58334,Abalistes stellatus,0.045615,2.729864,NA,Balistidae,60
12729,Coris bulbifrons,0.01,3.06,NA,Labridae,60
7736,Coris formosa,0.01,3.06,NA,Labridae,60
17265,Cratinus agassizii,0.01906,3.06,NA,Serranidae,60
7329,Epinephelus awoara,0.01148,3.04,NA,Serranidae,60
52447,Eubalichthys gunnii,0.02188,2.91,NA,Monacanthidae,60
14538,Eubalichthys mosaicus,0.02188,2.91,NA,Monacanthidae,60
6662,Gymnothorax eurostus,0.00095,3.1,NA,Muraenidae,60
14021,Latropiscis purpurissatus,0.00437,3.13,NA,Aulopidae,60
1841,Lethrinus crocineus,0.01479,2.99,NA,Lethrinidae,60
155,Lutjanus jordani,0.01445,2.98,NA,Lutjanidae,60
54493,Schizothorax oconnori,0.007083333,3.195333333,59.6,Cyprinidae,59.6
56566,Cycleptus meridionalis,0.002,3.237,NA,Catostomidae,59.3
4447,Pomadasys maculatus,0.04625,2.77,57,Haemulidae,59.3
3703,Astroscopus guttatus,0.00595,3,43,Uranoscopidae,59
2682,Prosopium cylindraceum,0.016983333,3.3078,52.1,Salmonidae,59
8699,Brycon guatemalensis,0.01161,3.114,58,Bryconidae,59
9379,Schilbe banguelensis,0.005,3.268,NA,Schilbeidae,59
57815,Hydrolycus tatauaia,0.0052,3.18,59,Cynodontidae,59
10183,Neomerinthe folgori,0.008066667,3.177333333,59,Scorpaenidae,59
1735,Chelon auratus,0.0118585,2.9601,56,Mugilidae,59
3598,Kyphosus ocyurus,0.0182,3.03,NA,Kyphosidae,59
49946,Megalancistrus parananus,0.028066667,3.057,55.6,Loricariidae,58.8
62991,Cichla kelberi,0.014915,3.0710875,58.5,Cichlidae,58.5
14503,Tylosurus punctulatus,0.002,2.9,59.5,Belonidae,58.3
55908,Coreius guichenoti,0.00819,3.116,58.2,Cyprinidae,58.2
23675,Rhinogobius brunneus,0.0087,3.12,58,Gobiidae,58
2580,Urobatis halleri,0.00734,3,57,Urotrygonidae,58
3957,Sebastes caurinus,0.01746,3,53,Sebastidae,58
3568,Anisotremus davidsonii,0.0188,3,46.2,Haemulidae,58
10776,Cymbacephalus nematophthalmus,0.021,2.78,42,Platycephalidae,58
22951,Silurus lithophilus,0.00769,3,58,Siluridae,58
24237,Lepidopsetta bilineata,0.02062,2.8578,45,Pleuronectidae,58
4499,Sparidentex hasta,0.018233333,2.996333333,67.5,Sparidae,58
355,Morone americana,0.009133333,3.123666667,NA,Moronidae,58
1916,Carangoides armatus,0.055725,2.82308,51,Carangidae,58
2687,Oncorhynchus apache,0.0121,3,58,Salmonidae,58
5158,Epinephelus akaara,0.0304,2.971,NA,Serranidae,58
5269,Citharinus citharus,0.02235,2.661,28.9,Citharinidae,58
1983,Uraspis helvola,0.01413,2.96,NA,Carangidae,58
211,Pristipomoides zonatus,0.017733333,2.845,57.5,Lutjanidae,57.5
54517,Ptychobarbus kaznakovi,0.0078925,3.077,57.5,Cyprinidae,57.5
4533,Hypophthalmus edentatus,0.006435,3.187833333,44.6,Pimelodidae,57.5
14458,Schizothorax wangchiachii,0.0171,2.966666667,57.5,Cyprinidae,57.5
969,Batrachoides surinamensis,0.007815,3.27725,40.5,Batrachoididae,57
60494,Urophycis mystacea,0.003475,3.1875,66.5,Phycidae,57
235,Coregonus artedi,0.009273846,3.255992308,42.4,Salmonidae,57
6454,Cephalopholis sonnerati,0.016082,3.13253,50.2,Serranidae,57
15418,Okamejei kenojei,0.0025,3.267,57,Rajidae,57
57905,Hyperoglyphe macrophthalma,0.0209,3,87,Centrolophidae,57
6598,Hexagrammos otakii,0.012466667,3.068833333,57,Hexagrammidae,57
1604,Dorosoma cepedianum,0.01723625,2.95575,43.2,Clupeidae,57
2443,Chrysichthys auratus,0.011361667,2.960446667,35,Claroteidae,57
11197,Distichodus mossambicus,0.00694,3.415,NA,Distichodontidae,57
17286,Trachyscorpia cristulata echinata,0.0169,3.012,56.9,Sebastidae,56.9
4037,Pleurogrammus monopterygius,0.010595,3.071,46,Hexagrammidae,56.5
3590,Umbrina roncador,0.0118,2.9905,55.9,Sciaenidae,56
3611,Pentaceros richardsoni,0.0165,3,38,Pentacerotidae,56
198,Pristipomoides aquilonaris,0.0284,2.955,23,Lutjanidae,56
3131,Gymnelus viridis,0.001445,3.495,NA,Zoarcidae,56
1945,Oligoplites altus,0.0072,3.06,55,Carangidae,56
50106,Serranochromis altus,0.0213,3,56,Cichlidae,56
24239,Pseudopleuronectes obscurus,0.00771,3.1959,56,Pleuronectidae,56
3968,Sebastes eos,0.0161,3,53.3,Sebastidae,56
3992,Sebastes rastrelliger,0.022,3,49.5,Sebastidae,56
24427,Schizothorax curvifrons,0.022066667,2.805333333,39.3,Cyprinidae,56
1222,Calamus calamus,0.0277,2.9905,31,Sparidae,56
3971,Sebastes goodei,0.0129,3,49.5,Sebastidae,56
2383,Serranochromis robustus,0.008,3.1975,NA,Cichlidae,56
52994,Brycon hilarii,0.0203,3,56,Bryconidae,56
3986,Sebastes ovalis,0.0163,3,38.7,Sebastidae,56
821,Halaelurus lineatus,0.00252,3.05,NA,Scyliorhinidae,56
4788,Coregonus migratorius,0.00096,3.7298,48.5,Salmonidae,56
2970,Catostomus latipinnis,0.00832,3,48,Catostomidae,56
1015,Centropomus pectinatus,0.017663333,2.872,56,Centropomidae,56
1891,Alepes vari,0.01413,2.96,NA,Carangidae,56
15101,Epinephelides armatus,0.00933,2.97,NA,Serranidae,56
1857,Lethrinus laticaudis,0.01479,2.99,NA,Lethrinidae,56
59493,Scarus trispinosus,0.0384,2.95,55.6,Scaridae,55.6
31,Micromesistius poutassou,0.004604211,3.151921053,55.5,Gadidae,55.5
8718,Caspiomyzon wagneri,0.001286667,2.891716667,55.3,Petromyzontidae,55.3
12821,Gymnothorax annasona,0.00095,3.1,NA,Muraenidae,55.3
2497,Diplodus cervinus,0.0093,3.21,50,Sparidae,55
7045,Lepidonotothen squamifrons,0.004932857,3.360857143,49.5,Nototheniidae,55
315,Eleginus gracilis,0.00873,3.0105,41.5,Gadidae,55
1900,Caranx caballus,0.02875,2.955,48.3,Carangidae,55
3022,Ameiurus nebulosus,0.01432,3.00575,48.3,Ictaluridae,55
1059,Hemiramphus brasiliensis,0.017418571,3.1061,38,Hemiramphidae,55
4466,Pseudobalistes fuscus,0.152275,2.60614,58,Balistidae,55
408,Micropogonias undulatus,0.005233333,3.282333333,35,Sciaenidae,55
4684,Parachromis managuensis,0.0206,3.0805,54.6,Cichlidae,55
49051,Cirrhinus molitorella,0.012384,3.1348,41.5,Cyprinidae,55
92,Acanthostracion quadricornis,0.0892225,2.58525,55,Ostraciidae,55
7041,Gobionotothen gibberifrons,0.001648571,3.522285714,51.2,Nototheniidae,55
10470,Parupeneus chrysopleuron,0.0344,2.86,27.8,Mullidae,55
5518,Pomadasys olivaceus,0.0298,2.9785,8.2,Haemulidae,55
958,Bagre bagre,0.00548,3.056,20.3,Ariidae,55
1870,Wattsia mossambica,0.0382,2.512,48,Lethrinidae,55
1107,Lactophrys trigonus,0.1964,2.5915,47,Ostraciidae,55
6580,Bodianus bilunulatus,0.023465,3,20,Labridae,55
1721,Schedophilus medusophagus,0.016035,3,55,Centrolophidae,55
48137,Coregonus widegreni,0.0056,3.2199,50,Salmonidae,55
8483,Lepidorhynchus denticulatus,0.00084,3.2609,54.3,Macrouridae,55
1855,Lethrinus enigmaticus,0.0103,3.122,NA,Lethrinidae,55
7348,Epinephelus howlandi,0.015683333,3.005363333,42.5,Serranidae,55
288,Galeichthys feliceps,0.011555,2.974,34,Ariidae,55
10793,Glaucosoma buergeri,0.0466,2.716,55,Glaucosomatidae,55
706,Lithognathus mormyrus,0.0139816,2.99944,49,Sparidae,55
4493,Sphyraena obtusata,0.010831,2.86173,50,Sphyraenidae,55
13154,Chirolophis japonicus,0.0024,3.423,26.8,Stichaeidae,55
46777,Cichla intermedia,0.0327,2.771,54.6,Cichlidae,55
5999,Pachymetopon aeneum,0.01,3.149,NA,Sparidae,55
7340,Epinephelus diacanthus,0.038,2.728,38.7,Serranidae,55
7352,Epinephelus longispinis,0.027,3.249,36.7,Serranidae,55
1923,Carangoides bajad,0.011855,2.876,51.5,Carangidae,55
5545,Scarus forsteni,0.0142,3.13,39.1,Scaridae,55
282,Parabramis pekinensis,0.01202125,3.1225,51.7,Cyprinidae,55
453,Pseudupeneus prayensis,0.016833333,3.035333333,39,Mullidae,55
25736,Hypophthalmus marginatus,0.0444025,3.027,47,Pimelodidae,55
15086,Caprodon longimanus,0.00933,2.97,NA,Serranidae,55
14532,Acanthaluteres brownii,0.02188,2.91,NA,Monacanthidae,55
180,Lutjanus stellatus,0.01445,2.98,NA,Lutjanidae,55
8221,Pontinus clemensi,0.035,2.85,67,Scorpaenidae,54.9
12218,Pterygoplichthys anisitsi,0.064175,2.70025,55,Loricariidae,54.9
56031,Culter recurviceps,0.011083333,3.015666667,54.6,Cyprinidae,54.6
352,Paralabrax humeralis,0.1824,2.234,47.5,Serranidae,54.5
59046,Trichiurus brevis,0.0314,2.77,73,Trichiuridae,54.5
1226,Calamus nodosus,0.00765,3.13,54.4,Sparidae,54.4
12144,Sorubim lima,0.0052125,3.20465,50.4,Pimelodidae,54.2
52976,Hemibagrus macropterus,0.0136625,2.767,54.2,Bagridae,54.2
13471,Ariopsis guatemalensis,0.063333333,2.865333333,54,Ariidae,54
4355,Calotomus carolinus,0.01065,3.2235,29.5,Scaridae,54
16772,Coryphaenoides striaturus,0.174,2.98,17,Macrouridae,54
1256,Acanthurus dussumieri,0.04898,2.83363,51.5,Acanthuridae,54
5606,Epibulus insidiator,0.0329725,2.957005,35,Labridae,54
51253,Semaprochilodus brama,0.0181,3.072,54,Prochilodontidae,54
2557,Leucoraja erinacea,0.00435,3.121,NA,Rajidae,54
2551,Narcine brasiliensis,0.01559,2.896666667,47,Narcinidae,54
10676,Cyttus traversi,0.024433333,2.971333333,51.1,Cyttidae,54
3999,Sebastes rufus,0.0151,3,50.8,Sebastidae,54
6432,Hephaestus fuliginosus,0.03281,3,40,Terapontidae,54
24126,Careproctus furcellus,0.00421,3.28,52,Liparidae,54
53288,Leporinus copelandii,0.00925,3.1175,54,Anostomidae,54
4179,Careproctus melanurus,0.007053333,3.261766667,54,Liparidae,54
1257,Acanthurus leucosternon,0.016875,2.9605,18.7,Acanthuridae,54
5541,Scarus xanthopleura,0.01445,3.04,NA,Scaridae,54
54491,Schizothorax macropogon,0.00897,3.0995,53.8,Cyprinidae,53.8
5003,Pomadasys incisus,0.0426,2.713875,53.5,Haemulidae,53.5
14141,Zapteryx brevirostris,0.082543333,2.778666667,59.3,Rhinobatidae,53.4
465,Percophis brasiliensis,0.00365,3.039,68.5,Percophidae,53.3
46610,Chanodichthys dabryi,0.0140175,3.027,53.1,Cyprinidae,53.1
55964,Schizothorax chongi,0.0181,2.94,53,Cyprinidae,53
504,Sebastes alutus,0.008563333,3.136616667,46,Sebastidae,53
5240,Brycinus macrolepidotus,0.014,2.977666667,30,Alestidae,53
5453,Brycon moorei,0.0134,3.155,53,Bryconidae,53
4237,Eopsetta jordani,0.0040525,3.252675,67,Pleuronectidae,53
7353,Epinephelus miliaris,0.0255,3,NA,Serranidae,53
1140,Haemulon plumierii,0.026221875,2.955325,70,Haemulidae,53
1363,Trachinus draco,0.008248889,3.073455556,39.6,Trachinidae,53
3960,Sebastes ciliatus,0.0175,3,50.8,Sebastidae,53
3387,Pomoxis annularis,0.014168636,3.151431818,41,Centrarchidae,53
25732,Megalodoras uranoscopus,0.0125,3.095,59,Doradidae,53
4618,Siganus javus,0.01585,3.07,NA,Siganidae,53
12230,Kyphosus elegans,0.0182,3.03,NA,Kyphosidae,53
14462,Schizothorax kozlovi,0.02455,2.8605,52.8,Cyprinidae,52.8
14003,Menticirrhus nasus,0.0177,2.89,52.6,Sciaenidae,52.6
311,Urophycis brasiliensis,0.004625,3.1705,58.6,Phycidae,52.2
479,Zoarces viviparus,0.014575,2.831775,26.5,Zoarcidae,52
1863,Lethrinus lentjan,0.02715,2.886018,44.5,Lethrinidae,52
56870,Lophiodes monodi,0.043,2.684,52,Lophiidae,52
10303,Takifugu porphyreus,0.00597,3.219,52,Tetraodontidae,52
1580,Alosa kessleri,0.011243333,3.091533333,45.7,Clupeidae,52
7366,Epinephelus summana,0.02072,3,24,Serranidae,52
8078,Virididentex acromegalus,0.0248,2.89,52,Sparidae,52
476,Chionodraco rastrospinosus,0.00149,3.826833333,48.5,Channichthyidae,52
2666,Hiodon alosoides,0.011755,3.0515,NA,Hiodontidae,52
5007,Pontinus kuhlii,0.013784,3.0304,47,Scorpaenidae,52
8843,Glyptocephalus stelleri,0.00591,3.1963,47,Pleuronectidae,52
519,Hippoglossoides elassodon,0.006573333,3.155866667,51,Pleuronectidae,52
67051,Belone euxini,0.00055,3.178,52,Belonidae,52
7362,Epinephelus socialis,0.01148,3.04,NA,Serranidae,52
47674,Tocantinsia piresi,0.005,3.27,51.5,Auchenipteridae,51.5
8128,Choerodon graphicus,0.01481,3.12349,51.5,Labridae,51.5
195,Parapristipomoides squamimaxillaris,0.0138,3.02,NA,Lutjanidae,51.3
24131,Careproctus rastrinus,0.0166,3.01,38,Liparidae,51
3010,Moxostoma poecilurum,0.0117,2.97,50.8,Catostomidae,51
8253,Anisotremus interruptus,0.0569,2.91,NA,Haemulidae,51
2441,Chrysichthys maurus,0.015,2.784,36.5,Claroteidae,51
3070,Porichthys myriaster,0.002,3.547,19.5,Batrachoididae,51
1912,Carangoides talamparoides,0.0114,3.319,21.5,Carangidae,51
6661,Epinephelus macrospilos,0.0134,3.02586,41,Serranidae,51
23451,Pimelodus maculatus,0.015965833,3.061783333,39,Pimelodidae,51
3997,Sebastes rubrivinctus,0.0298,2.81,46.4,Sebastidae,51
3056,Bagre panamensis,0.003,3.279,23.6,Ariidae,51
6412,Pomadasys bayanus,0.01632,2.995,50,Haemulidae,51
12942,Pinguipes chilensis,0.0346,2.703,51,Pinguipedidae,51
6507,Sargocentron spiniferum,0.020936667,3.03327,32.6,Holocentridae,51
3003,Moxostoma duquesnii,0.02034,2.8776,33,Catostomidae,51
4709,Sillago ciliata,0.003245,3.349765,31,Sillaginidae,51
1068,Halichoeres radiatus,0.0131,3.038,3.6,Labridae,51
2953,Semotilus corporalis,0.030435,2.849,45,Cyprinidae,51
5075,Hyperopisus bebe,0.0146,2.779195,42.7,Mormyridae,51
204,Sarpa salpa,0.0169555,3.0299,43,Sparidae,51
13800,Bodianus scrofa,0.01649,3.0665,51,Labridae,51
4093,Hemilepidotus hemilepidotus,0.02824,3,34,Cottidae,51
12604,Parupeneus porphyreus,0.05793,3.051,28,Mullidae,51
7334,Albula nemoptera,0.0174,2.92,34.5,Albulidae,51
14547,Meuschenia hippocrepis,0.02188,2.91,NA,Monacanthidae,51
7912,Scarus russelii,0.01445,3.04,NA,Scaridae,51
6653,Scorpaenopsis cacopsis,0.0123,3.02,NA,Scorpaenidae,51
7641,Bothus mancus,0.01047,3,NA,Bothidae,51
7827,Coris flavovittata,0.0352,3,50.8,Labridae,50.8
24430,Schizothorax esocinus,0.01868,2.974,50.8,Cyprinidae,50.8
56594,Coelorinchus trachycarus,0.0233,3.41,18.5,Macrouridae,50.8
12860,Paralabrax albomaculatus,0.01096,3.06,NA,Serranidae,50.8
1150,Heteropriacanthus cruentatus,0.023043333,2.88771,34.5,Priacanthidae,50.7
5805,Kyphosus cinerascens,0.02425,2.97,50.7,Kyphosidae,50.7
55357,Schizothorax biddulphi,0.0041,3.27,50.6,Cyprinidae,50.6
9197,Chelidonichthys obscurus,0.00587,3.188218182,50.5,Triglidae,50.5
272,Rutilus rutilus,0.0114992,3.1868,50.2,Cyprinidae,50.2
1311,Odonus niger,0.030776667,2.97,32,Balistidae,50
4833,Glossogobius giuris,0.012184667,3.00274,23.6,Gobiidae,50
12302,Decapterus muroadsi,0.013025,3,27.4,Carangidae,50
1576,Alosa braschnikowi,0.095108,2.78976,49,Clupeidae,50
4793,Pterygoplichthys multiradiatus,0.08,2.5,43.7,Loricariidae,50
5990,Parupeneus cyclostomus,0.016756667,3.036666667,34.5,Mullidae,50
366,Trachurus japonicus,0.012848,2.9838,41.3,Carangidae,50
1854,Lethrinus atkinsoni,0.01925,3.0318425,45.5,Lethrinidae,50
341,Galeoides decadactylus,0.012425,3.01,36.6,Polynemidae,50
5547,Chlorurus frontalis,0.0226,2.9935,48.5,Scaridae,50
1084,Scomberesox saurus,0.001385,3.1395,40.5,Scomberesocidae,50
2396,Mormyrus hasselquistii,0.03035,2.7045,21.2,Mormyridae,50
58279,Hemilutjanus macrophthalmos,0.0269,2.828,36.5,Serranidae,50
8176,Coryphaenoides guentheri,0.261,3.345,NA,Macrouridae,50
12826,Cymbacephalus beauforti,0.00402,3.21054,52,Platycephalidae,50
265,Lutjanus gibbus,0.022206667,3.024,43.5,Lutjanidae,50
13216,Tor khudree,0.0085,2.95,50,Cyprinidae,50
1011,Trachinotus goodei,0.017385,2.95,30,Carangidae,50
2446,Schilbe mandibularis,0.006,3.081,28.5,Schilbeidae,50
1851,Lethrinus harak,0.019518333,3.010043333,36.5,Lethrinidae,50
1910,Carangoides plagiotaenia,0.0782,2.598,35.5,Carangidae,50
8557,Kareius bicoloratus,0.01878,2.95751,65,Pleuronectidae,50
5538,Cetoscarus bicolor,0.01984,3,41.5,Scaridae,50
995,Decapterus tabl,0.00931,3.107,43,Carangidae,50
4687,Coregonus peled,0.09605,2.970425,39,Salmonidae,50
1592,Brevoortia tyrannus,0.013015,3.108,33,Clupeidae,50
16335,Pteraclis carolinus,0.0011,3.609,NA,Bramidae,50
193,Paracaesio stonei,0.209,2.301,NA,Lutjanidae,50
1770,Syngnathus acus,0.000297273,3.253818182,37.8,Syngnathidae,50
23622,Tribolodon hakonensis,0.00906,3.0745,40.5,Cyprinidae,50
13277,Urotrygon aspidura,0.006,3.04,78.4,Urotrygonidae,50
956,Aspistor quadriscutis,0.0112,3.0325,44.2,Ariidae,50
55405,Leptobotia elongata,0.0067075,3.06725,45.5,Cobitidae,50
7692,Drepane longimana,0.0495,2.895,47.3,Drepaneidae,50
4955,Bodianus speciosus,0.0336,2.865,55,Labridae,50
13001,Sphyraena pinguis,0.0283,2.736,22.5,Sphyraenidae,50
966,Melichthys niger,0.0439,2.8,29.5,Balistidae,50
7707,Pomadasys furcatus,0.03,2.84,NA,Haemulidae,50
23184,Chagunius chagunio,0.00553,3.1605,36.57,Cyprinidae,50
5397,Gymnothorax zonipectis,0.00118,3,21.2,Muraenidae,50
9590,Luciobarbus guiraonis,0.014666667,2.966666667,41.5,Cyprinidae,50
176,Lutjanus russellii,0.014586667,3.03963,37,Lutjanidae,50
53291,Megaleporinus elongatus,0.017275,3.068,50,Anostomidae,50
13025,Sparisoma cretense,0.010583333,3.112833333,43,Scaridae,50
306,Salilota australis,0.024854,2.9326,NA,Moridae,50
12220,Apteronotus albifrons,0.0029,3.07,47.5,Apteronotidae,50
15811,Narcetes lloydi,0.0044,3.2028,23.3,Alepocephalidae,50
1431,Oreochromis esculentus,0.01367,3.15175,35,Cichlidae,50
1920,Carangoides equula,0.041025,2.82,35,Carangidae,50
5429,Halobatrachus didactylus,0.020215,3.02375,35.3,Batrachoididae,50
11203,Distichodus schenga,0.0136,3.252,NA,Distichodontidae,50
6626,Parupeneus spilurus,0.049985,2.79785,29.5,Mullidae,50
1000,Oligoplites saliens,0.0069,2.9,18.3,Carangidae,50
12914,Schilbe intermedius,0.0050175,3.2087725,31.9,Schilbeidae,50
